a,vf_max,n_cuts,t_coat,space
0.2500,0.1812,30.0000,0.0000,0.0000
0.5000,0.2838,30.0000,0.0000,0.0000
1.0000,0.2628,30.0000,0.0000,0.0000
2.0000,0.2382,30.0000,0.0000,0.0000
4.0000,0.0339,30.0000,0.0000,0.0000
