a,vf_max,n_cuts,t_coat,space
0.0630,0.0016,30.0000,0.0000,0.0000
0.1250,0.0022,30.0000,0.0000,0.0000
0.2500,0.0926,30.0000,0.0000,0.0000
0.5000,0.1256,30.0000,0.0000,0.0000
1.0000,0.0546,30.0000,0.0000,0.0000
2.0000,0.1519,30.0000,0.0000,0.0000
4.0000,0.3681,30.0000,0.0000,0.0000
8.0000,0.2033,30.0000,0.0000,0.0000
