a,vf_max,n_cuts,t_coat,space
0.5000,0.1390,30.0000,10.0000,10.0000
1.0000,0.0604,30.0000,10.0000,10.0000
2.0000,0.1681,30.0000,10.0000,10.0000
4.0000,0.4074,30.0000,10.0000,10.0000
8.0000,0.2250,30.0000,10.0000,10.0000
