a,vf_max,n_cuts,t_coat,space
0.0630,0.0006,30.0000,0.0000,0.0000
0.1250,0.0042,30.0000,0.0000,0.0000
0.2500,0.1804,30.0000,0.0000,0.0000
0.5000,0.2825,30.0000,0.0000,0.0000
1.0000,0.2615,30.0000,0.0000,0.0000
2.0000,0.2371,30.0000,0.0000,0.0000
4.0000,0.0338,30.0000,0.0000,0.0000
