a,vf_max,n_cuts,t_coat,space
0.2500,0.0930,30.0000,0.0000,0.0000
0.5000,0.1261,30.0000,0.0000,0.0000
1.0000,0.0548,30.0000,0.0000,0.0000
2.0000,0.1525,30.0000,0.0000,0.0000
4.0000,0.3695,30.0000,0.0000,0.0000
8.0000,0.2041,30.0000,0.0000,0.0000
